参数,值,标准误,单位
μ₀,0.1874919415697373,0.2804494008061612,d⁻¹
μ_S,0.514429255144494,0.31125090922916376,d⁻¹
K_S,0.12744534846966465,0.555365490774969,g/L
K₀,16804104.97875604,9420952.398324786,cells/mL
K_max,105853489.07445788,22389679.33015203,cells/mL
S_K,3.7413365031936094,2.388558012387737,g/L
τ₀,6.03130124397417,6.055642164309811,d
S_τ,0.10000001767257898,0.3820151618506779,g/L
