参数,值,标准误,单位
r_photo,0.3516313521993323,0.3011501505700399,d⁻¹
t_photo,8.175853671471193,4.603400671496063,d
K₀,18070596.292710107,6227958.513816751,cells/mL
a_het,10630458.435161142,1571257.6739565523,cells/(mL·g/L)
r_het,0.45192758305590636,0.2784097560361246,d⁻¹
t_het,4.016870832109129,1.5250360912184981,d
