参数,值,标准误,单位
μ₀,0.10817363157387584,0.030256879781297524,d⁻¹
μ_S,1.5201666902449826,0.46851843948991806,d⁻¹
K_S,0.10000000000001087,0.7785621073595135,g/L
K₀,29348852.985834315,4799561.248772624,cells/mL
k_S,5063194.979973574,1572851.9160284095,cells/(mL·g/L)
λ₀,4.159924811493022,2.031768336440824,d
α_λ,4.999999999999999,14.456069878766023,L/g
