参数,值,标准误,单位
μ_photo,0.10646613254154264,0.02251248670222716,d⁻¹
μ_max_S,0.5595139780880336,0.1296838663217273,d⁻¹
K_S,0.05000000000000001,0.9097532470728636,g/L
Y_XS,499999999.99999994,320970202913.19055,cells/g
K₀,24999999.999999996,5407918.789471577,cells/mL
k_S,8629846.27786347,1224982.59343772,cells/(mL·g/L)
